timestamp,A01,A02,A03,A04,A05,A06,cp
14/3/18 12:00,177.118,269.64,15.932,275.1,15.932,275.1,0
14/3/18 12:30,180.479,271.62,16.052,279.12,16.052,279.12,0
14/3/18 13:00,189.519,271.919,16.186,266.52,16.186,266.52,0
14/3/18 13:30,186.479,263.159,15.261,274.86,15.261,274.86,0
14/3/18 14:00,184.799,267.24,15.341,273.059,15.341,273.059,0
14/3/18 14:30,181.04,256.38,16.476,266.04,16.476,266.04,0
14/3/18 15:00,183.918,248.039,15.264,266.28,15.264,266.28,0
14/3/18 15:30,181.52,246.66,15.365,268.26,15.365,268.26,0
14/3/18 16:00,155.359,224.34,14.935,262.08,14.935,262.08,0
14/3/18 16:30,85.999,169.8,1.433,194.039,1.433,194.039,0
14/3/18 17:00,69.12,113.4,1.962,162.42,1.962,162.42,0
14/3/18 17:30,65.6,79.38,1.361,153.36,1.361,153.36,0
14/3/18 18:00,57.919,72.66,1.369,155.64,1.369,155.64,0
14/3/18 18:30,58.959,71.64,1.235,138.96,1.235,138.96,0
14/3/18 19:00,52.56,70.02,0.927,127.379,0.927,127.379,0
14/3/18 19:30,52.72,70.32,0.819,119.88,0.819,119.88,0
14/3/18 20:00,48.4,64.2,0.824,113.64,0.824,113.64,0
14/3/18 20:30,41.518,67.32,1.659,111.06,1.659,111.06,0
14/3/18 21:00,39.439,64.5,0.808,112.02,0.808,112.02,0
14/3/18 21:30,40.239,65.34,0.805,107.34,0.805,107.34,0
14/3/18 22:00,38.639,63.84,0.808,107.94,0.808,107.94,0
14/3/18 22:30,38.719,67.62,0.811,94.26,0.811,94.26,0
14/3/18 23:00,39.519,63.479,0.805,68.64,0.805,68.64,0
14/3/18 23:30,37.92,64.799,0.808,67.199,0.808,67.199,0
15/3/18 0:00,5.679,79.14,0.814,64.139,0.814,64.139,0
15/3/18 0:30,5.04,82.92,0.815,63.18,0.815,63.18,0
15/3/18 1:00,5.36,72.6,0.815,66.959,0.815,66.959,0
15/3/18 1:30,6.24,71.34,0.814,68.16,0.814,68.16,0
15/3/18 2:00,5.52,70.38,1.471,62.338,1.471,62.338,0
15/3/18 2:30,6.56,76.44,0.817,62.94,0.817,62.94,0
15/3/18 3:00,6.159,81.96,0.816,60.719,0.816,60.719,0
15/3/18 3:30,6.24,77.759,0.815,62.759,0.815,62.759,0
15/3/18 4:00,4.959,83.94,0.81,65.04,0.81,65.04,0
15/3/18 4:30,6.319,96.18,0.805,65.46,0.805,65.46,0
15/3/18 5:00,17.28,100.62,1.745,84.3,1.745,84.3,0
15/3/18 5:30,30.16,128.1,1.589,85.14,1.589,85.14,0
15/3/18 6:00,37.28,156.48,17.549,97.86,17.549,97.86,0
15/3/18 6:30,62.48,175.8,13.255,117.72,13.255,117.72,0
15/3/18 7:00,154.399,209.159,13.236,158.7,13.236,158.7,0
15/3/18 7:30,90.399,248.94,13.346,186.9,13.346,186.9,0
15/3/18 8:00,123.679,288.36,14.797,220.86,14.797,220.86,0
15/3/18 8:30,136.4,294.66,13.946,246.36,13.946,246.36,0
15/3/18 9:00,153.519,287.76,13.656,259.2,13.656,259.2,0
15/3/18 9:30,153.677,290.16,14.595,253.02,14.595,253.02,0
15/3/18 10:00,140.079,275.58,14.191,263.88,14.191,263.88,0
15/3/18 10:30,141.839,279.599,13.863,263.099,13.863,263.099,0
15/3/18 11:00,151.597,282.24,15.12,271.92,15.12,271.92,0
15/3/18 11:30,151.438,284.04,13.841,268.079,13.841,268.079,0
15/3/18 12:00,155.68,281.58,15.017,269.1,15.017,269.1,0
15/3/18 12:30,158.958,281.16,14.54,271.98,14.54,271.98,0
15/3/18 13:00,194.078,268.68,14.215,265.62,14.215,265.62,0
15/3/18 13:30,182.799,270.539,13.758,277.799,13.758,277.799,0
15/3/18 14:00,159.44,265.92,13.632,271.499,13.632,271.499,0
15/3/18 14:30,162.639,263.64,14.933,269.16,14.933,269.16,0
15/3/18 15:00,163.76,257.939,13.749,267.839,13.749,267.839,0
15/3/18 15:30,157.839,260.46,14.428,265.02,14.428,265.02,0
15/3/18 16:00,153.36,257.099,13.226,267.24,13.226,267.24,0
15/3/18 16:30,152.32,248.999,1.433,265.86,1.433,265.86,0
15/3/18 17:00,146.799,241.44,1.817,258.479,1.817,258.479,0
15/3/18 17:30,151.758,243.54,1.121,261.359,1.121,261.359,0
15/3/18 18:00,143.839,230.34,1.783,257.639,1.783,257.639,0
15/3/18 18:30,143.918,214.919,1.089,270.84,1.089,270.84,0
15/3/18 19:00,136.799,201.06,1.081,258.119,1.081,258.119,0
15/3/18 19:30,96.4,174.18,1.086,236.158,1.086,236.158,0
15/3/18 20:00,69.84,107.578,1.131,177.72,1.131,177.72,0
15/3/18 20:30,42.88,76.32,1.096,135.72,1.096,135.72,0
15/3/18 21:00,41.44,73.86,1.116,118.438,1.116,118.438,0
15/3/18 21:30,41.28,71.1,1.143,109.259,1.143,109.259,0
15/3/18 22:00,39.12,68.579,1.109,100.14,1.109,100.14,0
15/3/18 22:30,39.44,68.82,1.107,88.08,1.107,88.08,0
15/3/18 23:00,39.12,65.639,1.103,75.9,1.103,75.9,0
15/3/18 23:30,37.92,64.319,1.976,76.14,1.976,76.14,0
16/3/18 0:00,6.56,80.46,1.111,72.36,1.111,72.36,0
16/3/18 0:30,5.44,83.46,0.801,64.56,0.801,64.56,0
16/3/18 1:00,5.76,71.4,0.775,59.639,0.775,59.639,0
16/3/18 1:30,5.92,69.72,0.777,60.6,0.777,60.6,0
16/3/18 2:00,5.28,70.62,0.776,60.96,0.776,60.96,0
16/3/18 2:30,5.6,74.88,0.776,59.64,0.776,59.64,0
16/3/18 3:00,4.879,78.059,0.805,59.28,0.805,59.28,0
16/3/18 3:30,4.56,81.36,1.377,61.62,1.377,61.62,0
16/3/18 4:00,4.56,79.62,0.783,68.34,0.783,68.34,0
16/3/18 4:30,5.599,86.759,0.783,74.16,0.783,74.16,0
16/3/18 5:00,15.92,110.099,0.779,77.46,0.779,77.46,0
